______________________________________________________ 
|     Chave|     Dados|                          Nome|
+----------+----------+------------------------------+
|.........3|.........0|.......................Allizon|
|.........3|.........0|.........................Loany|
|.........3|.........0|.........................Lenny|
|.........3|.........0|.......................Allizon|
|.........3|.........0|........................Alizon|
|.........4|.........0|........................Zakobe|
|.........4|.........0|........................Rudolf|
|.........4|.........0|........................Zakobe|
|.........4|.........0|........................Zakobe|
|........12|.........0|......................Annistyn|
|........12|.........0|.......................Allisyn|
|........12|.........0|......................Annistyn|
|........12|.........0|.......................Addisyn|
|........12|.........0|........................Alisyn|
|........14|.........0|.......................Camrynn|
|........14|.........0|.......................Carsynn|
|........14|.........0|........................Calynn|
|........14|.........0|........................Calynn|
|........14|.........0|........................Corynn|
|........14|.........0|.......................Caylynn|
|........14|.........0|.......................Caylynn|
|........14|.........0|.......................Camrynn|
|........16|.........0|.........................Shena|
|........16|.........0|.........................Siena|
|........16|.........0|.........................Sanna|
|........16|.........0|.......................Sahanna|
|........16|.........0|.........................Shana|
|........16|.........0|.......................Suzanna|
|........16|.........0|.......................Suzanna|
|........16|.........0|.........................Senna|
|........16|.........0|.........................Siona|
|........16|.........0|.......................Susanna|
|........16|.........0|.......................Suzanna|
|........16|.........0|.........................Shena|
|........16|.........0|.......................Suzanna|
|........16|.........0|.......................Siyanna|
|........16|.........0|.........................Senna|
|........16|.........0|.......................Savanna|
|........19|.........0|..........................Maui|
|........19|.........0|..........................Maui|
|........22|.........0|......................Eliannys|
|........22|.........0|......................Eliannys|
|........24|.........0|.......................Iverson|
|........24|.........0|........................Tellis|
|........24|.........0|........................Tellis|
|........27|.........0|.........................Nicol|
|........27|.........0|.........................Nikol|
|........29|.........0|.......................Melrose|
|........33|.........0|.........................Britt|
|........33|.........0|.........................Britt|
|........37|.........0|.......................Winslet|
|........37|.........0|.......................Winslet|
|........42|.........0|........................Lanova|
|........44|.........0|......................Solomone|
|........44|.........0|........................Ramona|
|........58|.........0|......................Kathrynn|
|........58|.........0|......................Kathrynn|
|........60|.........0|..........................Levi|
|........60|.........0|..........................Lavi|
|........64|.........0|.........................Clive|
|........66|.........0|........................Bhavya|
|........66|.........0|........................Bhavya|
|........67|.........0|.......................Halston|
|........67|.........0|........................Huston|
|........67|.........0|.......................Houston|
|........67|.........0|.......................Houston|
|........67|.........0|........................Huxton|
|........67|.........0|........................Heston|
|........67|.........0|.......................Halston|
|........67|.........0|........................Huston|
|........67|.........0|.......................Houston|
|........67|.........0|.......................Houston|
|........70|.........0|......................Kristell|
|........71|.........0|.........................Rayne|
|........71|.........0|.........................Ryane|
|........71|.........0|.........................Reine|
|........71|.........0|.........................Raine|
|........71|.........0|.........................Raine|
|........71|.........0|.......................Rayanne|
|........71|.........0|.........................Raine|
|........71|.........0|.......................Roxanne|
|........72|.........0|...........................Zai|
|........72|.........0|..........................Zoii|
|........72|.........0|...........................Zai|
|........72|.........0|..........................Zoii|
|........73|.........0|.........................Polly|
|........74|.........0|........................Tavita|
|........74|.........0|........................Talita|
|........84|.........0|..........................Adut|
|........85|.........0|........................Irelyn|
|........87|.........0|........................Tevion|
|........87|.........0|.......................Taevion|
|........87|.........0|........................Tevion|
|........87|.........0|.......................Travion|
|........87|.........0|.......................Taivion|
|........87|.........0|........................Tyrion|
|........87|.........0|........................Tevion|
|........87|.........0|........................Torion|
|........87|.........0|.......................Taivion|
|........87|.........0|.......................Terrion|
|........87|.........0|.......................Trevion|
|........89|.........0|......................Jahaziel|
|........89|.........0|........................Cheryl|
|........89|.........0|......................Jahaziel|
|........89|.........0|......................Jahaziel|
|........91|.........0|......................Lisandro|
|........91|.........0|......................Lizandro|
|........94|.........0|..........................Jiro|
|........94|.........0|........................Kennya|
|........94|.........0|.......................Manroop|
|........94|.........0|........................Damyra|
|........98|.........0|.......................Jalyssa|
|........98|.........0|.......................Jolissa|
|........98|.........0|.......................Julissa|
|........98|.........0|.......................Jolissa|
|........98|.........0|.......................Julyssa|
|.......112|.........0|........................Rohith|
|.......112|.........0|........................Monroe|
|.......112|.........0|........................Rohith|
|.......113|.........0|.........................Faith|
|.......113|.........0|.........................Fayth|
|.......114|.........0|.........................Rivky|
|.......114|.........0|.........................Ricky|
|.......114|.........0|.........................Rocky|
|.......118|.........0|......................Damarcus|
|.......118|.........0|......................Denarius|
|.......118|.........0|......................Damarius|
|.......118|.........0|......................Denarius|
|.......129|.........0|........................Martez|
|.......129|.........0|........................Martin|
|.......130|.........0|......................Vittoria|
|.......130|.........0|.........................Shylo|
|.......130|.........0|.........................Shylo|
|.......130|.........0|......................Victoria|
|.......130|.........0|......................Victoria|
|.......133|.........0|........................Nahyan|
|.......136|.........0|.......................Mudasir|
|.......138|.........0|.........................Nahom|
|.......138|.........0|.......................Ernesto|
|.......139|.........0|........................Saloma|
|.......139|.........0|........................Sonoma|
|.......139|.........0|........................Sonoma|
|.......144|.........0|...........................Vuk|
|.......148|.........0|........................Eveyln|
|.......148|.........0|.........................Artur|
|.......148|.........0|........................Yamile|
|.......148|.........0|........................Yamile|
|.......148|.........0|.........................Artur|
|.......148|.........0|........................Savior|
|.......148|.........0|........................Savior|
|.......149|.........0|........................Sorrel|
|.......149|.........0|........................Sorrel|
|.......149|.........0|........................Sorrel|
|.......149|.........0|........................Shirel|
|.......150|.........0|........................Jadzia|
|.......150|.........0|........................Jadzia|
|.......150|.........0|.....................Serenitee|
|.......150|.........0|........................Jadzia|
|.......151|.........0|.........................Leora|
|.......151|.........0|.........................Leora|
|.......151|.........0|.........................Laira|
|.......151|.........0|.........................Liara|
|.......151|.........0|.........................Laira|
|.......151|.........0|.........................Hersh|
|.......151|.........0|.........................Harsh|
|.......154|.........0|........................Summit|
|.......154|.........0|........................Summit|
|.......155|.........0|......................Tallulah|
|.......155|.........0|......................Tallulah|
|.......160|.........0|........................Valley|
|.......160|.........0|..........................Yara|
|.......160|.........0|..........................Yura|
|.......160|.........0|..........................Yara|
|.......160|.........0|..........................Yara|
|.......162|.........0|........................Samual|
|.......162|.........0|........................Samual|
|.......162|.........0|........................Samual|
|.......168|.........0|.......................Orestes|
|.......181|.........0|......................Nadezhda|
|.......181|.........0|......................Nadezhda|
|.......187|.........0|.........................Sammi|
|.......189|.........0|...........................Tal|
|.......189|.........0|...........................Tal|
|.......192|.........0|....................Kerrington|
|.......192|.........0|....................Kensington|
|.......192|.........0|......................Southern|
|.......192|.........0|....................Karrington|
|.......192|.........0|....................Kerrington|
|.......192|.........0|....................Kensington|
|.......195|.........0|........................Zaineb|
|.......196|.........0|........................Minori|
|.......196|.........0|......................Missouri|
|.......196|.........0|.......................Maryori|
|.......196|.........0|........................Malori|
|.......196|.........0|........................Malori|
|.......196|.........0|........................Minori|
|.......198|.........0|..........................Troi|
|.......199|.........0|........................Lennox|
|.......201|.........0|.......................Yexalen|
|.......203|.........0|.......................Yeshaya|
|.......205|.........0|.........................Vayle|
|.......205|.........0|.......................Videlle|
|.......206|.........0|.......................Srishti|
|.......207|.........0|........................Behruz|
|.......208|.........0|.........................Yavin|
|.......208|.........0|.........................Yadin|
|.......208|.........0|........................Tasnim|
|.......208|.........0|.........................Yujin|
|.......208|.........0|.........................Yavin|
|.......208|.........0|.........................Yuvin|
|.......208|.........0|.........................Yuxin|
|.......208|.........0|.......................Yolandi|
|.......209|.........0|.....................Nicholson|
|.......211|.........0|........................Kelvin|
|.......211|.........0|........................Korvin|
|.......214|.........0|......................Symphony|
|.......214|.........0|......................Stephany|
|.......221|.........0|.....................Sudeeksha|
|.......221|.........0|.....................Sudeeksha|
|.......222|.........0|........................Ramsay|
|.......222|.........0|........................Ramsay|
|.......222|.........0|......................Renesmay|
|.......222|.........0|......................Renesmay|
|.......228|.........0|.........................Khyre|
|.......230|.........0|......................Oreoluwa|
|.......230|.........0|......................Oreoluwa|
|.......230|.........0|......................Oreoluwa|
|.......234|.........0|.......................Teniola|
|.......240|.........0|...........................Ram|
|.......240|.........0|........................Wilmer|
|.......241|.........0|......................Roselynn|
